phase,run_date,query_id,intent_group,locale,engine,repetition,model,valid_grounded_response,firm_id,display_name,canonical_domain,named_in_answer,matched_name_or_alias,cited_domain,matched_domain,citation_url,source_only,observed,match_status,ambiguous_terms
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",perplexity,1,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",perplexity,2,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-01,geographic_discovery,"Manchester, England",perplexity,3,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",gemini,1,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",gemini,2,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",gemini,3,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",openai,1,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",openai,2,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",openai,3,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",perplexity,1,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",perplexity,2,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-02,geographic_discovery,"Bristol, England",perplexity,3,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",gemini,1,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",gemini,2,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",gemini,3,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",openai,1,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,true,AAB Wealth,false,,,false,true,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",openai,2,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",openai,3,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",perplexity,1,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",perplexity,2,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-03,geographic_discovery,"Edinburgh, Scotland",perplexity,3,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",gemini,1,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",gemini,2,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",gemini,3,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",openai,1,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",openai,2,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",openai,3,gpt-5.4-2026-03-05,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",perplexity,1,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",perplexity,2,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-04,geographic_discovery,"Cardiff, Wales",perplexity,3,sonar-pro,true,aabwealth.uk,AAB Wealth,aabwealth.uk,false,,false,,,false,false,automatic,[]
production,2026-07-30,FA-GD-05,geographic_discovery,"Belfast, Northern Ireland",gemini,1,gemini-3-flash-preview,true,aabwealth.uk,AAB Wealth,aabwealth.uk,true,AAB Wealth,true,aabwealth.uk,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFAu8djcARj88iYpsIa_5X3l6ltziZXbzoGWsW1NoLVIi2JDGXo328_SypOX56LKuHPccXb72jbacorWTjIummZSOm6aegE1MkdVvWHMbY_muG2Tftihbh_FHxFElkWfA==,false,true,automatic,[]
